Company Code,Month year,Product Group 2 Code,Product Group 3 Code,Product Group 4 Code,Plant Code,Channel Description,FM 01_Invoices Revenue,FM 07_Gross Profit,Product Group 2 Name,Product Group 3 Name,Product Group 4 Name,GL Account Code
1000,Jan 2024,PC,PCS,PCS00,1596,Retail,2630000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1596,Retail,158891,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PD,PDN,PDND0,1115,Online,109858000,16478700,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1115,Retail,2800056000,264654600,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1256,Online,36600000,5490000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1256,Retail,1454100000,177838680,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1277,Retail,2571027080,288124602,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1280,Retail,103000000,15450000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1294,Online,264796000,39719400,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1294,Retail,366237000,54935550,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1295,Retail,222300000,33345000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1314,Online,130745000,19611750,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1314,Retail,1020256000,125008440,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1316,Retail,600074000,63125220,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1317,Online,17900000,2685000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1317,Retail,2170860,325629,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1318,Retail,71725000,10758750,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1329,Retail,70970000,10645500,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1330,Online,114660000,17199000,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
1000,Jan 2024,PD,PDN,PDND0,1330,Retail,1561723080,183658682,ĐÁ,ĐÁ THIÊN NHIÊN,KIM CƯƠNG,0051111100
